City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,labrador city,52.9463,-66.9114,-4.05,68,40,2.06,CA,1713749202
344,dachne,44.8833,34.9833,9.73,84,80,2.01,UA,1713749536
345,saint-francois,46.4154,3.9054,-0.18,94,0,3.6,FR,1713749536
346,floro,61.5996,5.0328,3.98,75,100,3.09,NO,1713749146
347,kasama,-10.2129,31.1808,15.85,98,13,1.66,ZM,1713749536
348,fortuna,40.5982,-124.1573,15.52,75,0,5.14,US,1713749137
349,cabedelo,-6.9811,-34.8339,26.37,86,97,3.53,BR,1713749537
350,kudahuvadhoo,2.6708,72.8944,29.43,75,99,4.14,MV,1713749537
351,taltal,-25.4,-70.4833,19.21,80,0,2.57,CL,1713749363
352,khorugh,37.4897,71.553,3.99,61,44,0.65,TJ,1713749537
353,almeirim,-1.5233,-52.5817,24.0,97,100,1.15,BR,1713749371
354,fort abbas,29.1925,72.8536,27.42,26,47,1.39,PK,1713749537
355,thunder bay,48.4001,-89.3168,7.99,29,75,2.57,CA,1713749437
356,as suwayq,23.8494,57.4386,26.36,61,0,1.5,OM,1713749537
357,stornoway,58.2093,-6.3865,9.1,96,100,1.03,GB,1713749537
358,uttar char fasson,22.2332,90.7132,29.77,79,100,4.7,BD,1713749538
359,tirano,46.2154,10.1679,5.23,92,100,1.79,IT,1713749539
360,cam ranh,11.9214,109.1591,30.98,66,20,4.63,VN,1713749385
361,kingscliff,-28.2667,153.5667,25.96,73,75,7.72,AU,1713749539
362,broome,42.2506,-75.833,5.38,57,100,4.63,US,1713749394
363,chernyshevskiy,63.0128,112.4714,0.55,100,100,0.43,RU,1713749539
364,mahanoro,-19.9,48.8,23.07,91,1,1.63,MG,1713749541
